Wind forecast from Open-Meteo.com
Lat    	Lon     	Time
35.348	-117.809	2300Z
QNH hPa	QFE hPa
1017.4	944.5
 Alt 	Dir	Spd	Temp
ftAGL 	deg	kts	degC
    0	225	  7	  22
 1000	226	  7	  20
 2000	229	  7	  17
 3000	234	  7	  14
 4000	243	  7	  11
 5000	253	  7	   8
 6000	264	  6	   5
 7000	295	  7	   3
 8000	335	  8	   2
 9000	352	 12	   1
10000	  4	 16	   0
11000	  1	 18	  -2
12000	357	 19	  -3
13000	351	 21	  -5
14000	345	 22	  -7
15000	340	 25	  -9
16000	336	 27	 -11
17000	333	 29	 -13
18000	332	 32	 -16
19000	330	 34	 -18
20000	329	 36	 -20
21000	328	 37	 -22
22000	327	 38	 -25
23000	327	 39	 -27
24000	328	 39	 -29
25000	328	 39	 -31
26000	329	 41	 -34
27000	330	 42	 -36
28000	331	 44	 -38
29000	332	 45	 -41
30000	330	 46	 -43
31000	328	 48	 -45
32000	326	 49	 -48
33000	324	 51	 -50
34000	323	 50	 -52
35000	321	 50	 -55
36000	320	 50	 -57
37000	319	 50	 -59
38000	318	 49	 -61
39000	317	 48	 -62
40000	316	 47	 -63
41000	315	 46	 -64
42000	314	 45	 -66
43000	313	 43	 -67
