# Simulation 2 (Up to date)
# 13021 data points written for 5 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Open forward airframe (diameter > 0):  "Transition 3" Airframe"
#
# Time (s),Altitude (ft),Latitude (° N),Longitude (° E),Mass (kg)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,35.347538,-117.809397,36.800639
0.009,0,35.347538,-117.809397,36.800597
0.019,0.002001,35.347538,-117.809397,36.784297
0.029,0.019043,35.347538,-117.809397,36.767997
# Event LIFTOFF occurred at t=0.039 seconds
0.039,0.069214,35.347538,-117.809397,36.751696
0.044,0.112381,35.347538,-117.809397,36.743546
0.0515,0.204705,35.347538,-117.809397,36.719813
0.063,0.410474,35.347538,-117.809397,36.683422
0.073,0.651246,35.347538,-117.809397,36.652267
0.078,0.793334,35.347538,-117.809397,36.63669
0.0855,1.03377,35.347538,-117.809397,36.613534
0.094,1.345256,35.347538,-117.809397,36.58729
0.104,1.763922,35.347538,-117.809397,36.556719
0.109,1.994584,35.347538,-117.809397,36.541433
0.1165,2.367421,35.347538,-117.809397,36.518627
0.125,2.828437,35.347538,-117.809397,36.492779
0.135,3.422398,35.347538,-117.809397,36.462791
0.147,4.208813,35.347538,-117.809397,36.426804
0.157,4.925746,35.347538,-117.809397,36.396862
0.167,5.698654,35.347538,-117.809397,36.36692
0.177,6.527465,35.347538,-117.809397,36.336978
0.187,7.412107,35.347538,-117.809397,36.307036
0.194,8.064537,35.347538,-117.809397,36.286077
0.204,9.043974,35.347538,-117.809397,36.255645
0.214,10.079325,35.347538,-117.809397,36.225213
0.224,11.170798,35.347538,-117.809397,36.194782
0.234,12.318597,35.347538,-117.809397,36.16435
0.244,13.522931,35.347538,-117.809397,36.133918
0.254,14.784005,35.347538,-117.809397,36.103486
0.264,16.102027,35.347538,-117.809397,36.073055
0.274,17.477203,35.347538,-117.809397,36.042623
0.284,18.909741,35.347538,-117.809397,36.012191
0.294,20.399847,35.347538,-117.809397,35.981759
0.304,21.94773,35.347538,-117.809397,35.951328
0.314,23.553597,35.347538,-117.809397,35.920896
0.324,25.217657,35.347538,-117.809397,35.890464
0.334,26.940115,35.347538,-117.809397,35.860032
0.344,28.721181,35.347538,-117.809397,35.829601
0.35,29.818038,35.347538,-117.809397,35.811342
0.359,31.503146,35.347538,-117.809397,35.782778
0.369,33.431832,35.347538,-117.809397,35.75104
0.379,35.420212,35.347538,-117.809397,35.719303
# Event LAUNCHROD occurred at t=0.389 seconds
0.389,37.468681,35.347538,-117.809397,35.687565
0.404,40.654925,35.347538,-117.809397,35.639959
0.428,46.039354,35.347538,-117.809397,35.563788
0.464,54.786106,35.347538,-117.809397,35.445503
0.514,68.28439,35.347538,-117.809397,35.281218
0.563,83.055845,35.347538,-117.809397,35.120219
0.613,99.725136,35.347538,-117.809397,34.95232
0.663,118.025112,35.347538,-117.809397,34.784421
0.694,130.197626,35.347538,-117.809397,34.680323
0.7405,149.652652,35.347538,-117.809397,34.521033
0.7905,172.184813,35.347538,-117.809397,34.349752
0.8405,196.400951,35.347538,-117.809397,34.178471
0.8905,222.313847,35.347538,-117.809396,34.007191
0.9405,249.936043,35.347538,-117.809396,33.83591
0.988,277.771601,35.347538,-117.809395,33.673194
1.038,308.761393,35.347538,-117.809394,33.499465
1.088,341.491261,35.347539,-117.809392,33.325736
1.138,375.968073,35.347539,-117.80939,33.152007
1.188,412.198715,35.347539,-117.809388,32.978277
1.238,450.190019,35.347539,-117.809386,32.804548
1.266,472.23668,35.347539,-117.809384,32.70726
1.308,506.348616,35.34754,-117.809382,32.559956
1.358,548.595197,35.34754,-117.809379,32.384595
1.408,592.629879,35.34754,-117.809376,32.209234
1.458,638.460925,35.347541,-117.809373,32.033872
1.491,669.697005,35.347541,-117.809371,31.918134
1.5405,718.025297,35.347541,-117.809368,31.74418
1.581,758.876643,35.347542,-117.809365,31.601853
1.631,810.925762,35.347542,-117.809361,31.428241
1.641,821.548098,35.347542,-117.80936,31.393518
1.656,837.613573,35.347542,-117.809359,31.341959
1.6785,862.007987,35.347543,-117.809357,31.264621
1.684,868.025017,35.347543,-117.809357,31.245716
1.69225,877.090193,35.347543,-117.809356,31.217743
1.704625,890.776568,35.347543,-117.809355,31.175784
1.716,903.449992,35.347543,-117.809354,31.137216
1.733063,922.625732,35.347543,-117.809353,31.080437
1.758656,951.759979,35.347543,-117.80935,30.99527
1.784,981.04547,35.347544,-117.809348,30.910934
1.822016,1025.779834,35.347544,-117.809344,30.789218
# Event SIM_WARN occurred at t=1.872 seconds: Body calculations may not be entirely accurate at supersonic speeds.
1.872016,1086.066373,35.347545,-117.809339,30.62913
1.922016,1147.966753,35.347545,-117.809335,30.469043
1.938,1168.090036,35.347545,-117.809333,30.417865
1.961977,1198.574765,35.347546,-117.80933,30.346019
1.997941,1244.969836,35.347546,-117.809327,30.238249
2.047941,1310.783672,35.347547,-117.809321,30.088422
2.097941,1378.09888,35.347547,-117.809316,29.938595
2.138,1433.094097,35.347548,-117.809311,29.818558
2.188,1503.044509,35.347548,-117.809305,29.678875
2.238,1574.430931,35.347549,-117.809299,29.539193
2.288,1647.237899,35.34755,-117.809293,29.39951
2.338,1721.449086,35.347551,-117.809286,29.259827
2.388,1797.048,35.347551,-117.80928,29.120144
2.438,1874.018597,35.347552,-117.809273,28.980461
2.488,1952.345271,35.347553,-117.809266,28.840778
2.491,1957.087654,35.347553,-117.809266,28.832397
2.4955,1964.210268,35.347553,-117.809265,28.820466
2.50225,1974.914493,35.347553,-117.809264,28.802569
2.512375,1991.016396,35.347553,-117.809263,28.775723
2.527563,2015.271368,35.347554,-117.809261,28.735455
2.550344,2051.882217,35.347554,-117.809257,28.675053
2.584516,2107.30768,35.347555,-117.809252,28.584449
2.6,2132.622036,35.347555,-117.80925,28.543394
2.623227,2170.823189,35.347555,-117.809247,28.494322
2.658066,2228.62328,35.347556,-117.809241,28.420715
2.708066,2312.559446,35.347557,-117.809234,28.315078
2.758066,2397.568614,35.347557,-117.809226,28.209442
2.808066,2483.552608,35.347558,-117.809218,28.103805
2.858066,2570.412683,35.347559,-117.80921,27.998169
2.908066,2658.04957,35.34756,-117.809202,27.892532
2.919,2677.306998,35.34756,-117.809201,27.869432
2.9354,2706.252064,35.347561,-117.809198,27.843388
2.960001,2749.80043,35.347561,-117.809194,27.804321
2.996902,2815.412704,35.347562,-117.809188,27.74572
3.022,2860.234154,35.347562,-117.809184,27.705863
3.059647,2927.753374,35.347563,-117.809177,27.651696
3.109647,3017.918351,35.347564,-117.809169,27.579756
3.138,3069.273026,35.347565,-117.809164,27.538962
3.180529,3146.579981,35.347565,-117.809157,27.489176
3.230529,3237.843419,35.347566,-117.809149,27.430645
3.280529,3329.456595,35.347567,-117.80914,27.372113
3.3,3365.213979,35.347568,-117.809137,27.34932
3.329206,3418.923548,35.347568,-117.809132,27.323235
3.373016,3499.616852,35.347569,-117.809124,27.284108
3.388,3527.242585,35.347569,-117.809121,27.270725
3.410477,3568.697683,35.34757,-117.809118,27.254476
3.441,3625.017576,35.34757,-117.809112,27.232411
3.486785,3709.530028,35.347571,-117.809104,27.201982
3.536785,3801.856358,35.347572,-117.809096,27.168752
3.544,3815.181264,35.347572,-117.809094,27.163957
3.554822,3835.169553,35.347573,-117.809093,27.157244
3.571056,3865.153558,35.347573,-117.80909,27.147174
3.595406,3910.131255,35.347574,-117.809086,27.13207
3.609,3935.240246,35.347574,-117.809083,27.123638
3.629391,3972.901358,35.347574,-117.80908,27.113795
3.659977,4029.37624,35.347575,-117.809074,27.099031
3.688,4081.086305,35.347575,-117.809069,27.085504
3.730035,4158.562279,35.347576,-117.809062,27.071388
3.778,4246.815075,35.347577,-117.809054,27.055282
3.819,4322.108043,35.347578,-117.809047,27.043713
3.853,4384.433773,35.347579,-117.809041,27.035388
3.897,4464.916398,35.347579,-117.809033,27.02759
3.947,4556.087203,35.34758,-117.809025,27.024092
3.981,4617.885184,35.347581,-117.809019,27.021714
# Event BURNOUT occurred at t=3.997 seconds
# Event STAGE_SEPARATION occurred at t=3.997 seconds
3.997,4646.906396,35.347581,-117.809016,13.6542
4.021,4690.366925,35.347582,-117.809012,13.6542
4.057,4755.402011,35.347583,-117.809006,13.6542
4.107,4845.420073,35.347584,-117.808997,13.6542
4.157,4935.081656,35.347585,-117.808989,13.6542
4.207,5024.389106,35.347586,-117.80898,13.6542
4.257,5113.34471,35.347587,-117.808972,13.6542
4.307,5201.950736,35.347587,-117.808964,13.6542
4.357,5290.209471,35.347588,-117.808955,13.6542
4.407,5378.123195,35.347589,-117.808947,13.6542
4.457,5465.694144,35.34759,-117.808939,13.6542
4.507,5552.924506,35.347591,-117.80893,13.6542
4.557,5639.816469,35.347592,-117.808922,13.6542
4.607,5726.372233,35.347593,-117.808914,13.6542
4.657,5812.593995,35.347594,-117.808906,13.6542
4.707,5898.483915,35.347595,-117.808898,13.6542
4.757,5984.044106,35.347596,-117.808889,13.6542
4.807,6069.27664,35.347597,-117.808881,13.6542
4.857,6154.183564,35.347598,-117.808873,13.6542
4.907,6238.766922,35.347599,-117.808865,13.6542
4.957,6323.028729,35.3476,-117.808857,13.6542
5.007,6406.970962,35.347601,-117.808849,13.6542
5.057,6490.595573,35.347602,-117.808841,13.6542
5.107,6573.904507,35.347603,-117.808833,13.6542
5.157,6656.8997,35.347604,-117.808825,13.6542
5.207,6739.583074,35.347605,-117.808817,13.6542
5.257,6821.956517,35.347606,-117.808809,13.6542
5.307,6904.021884,35.347607,-117.808802,13.6542
5.357,6985.781021,35.347608,-117.808794,13.6542
5.407,7067.235772,35.347609,-117.808786,13.6542
5.457,7148.387962,35.34761,-117.808778,13.6542
5.507,7229.239386,35.347611,-117.80877,13.6542
5.557,7309.79181,35.347612,-117.808763,13.6542
5.607,7390.046989,35.347613,-117.808755,13.6542
5.657,7470.006673,35.347614,-117.808747,13.6542
5.707,7549.6726,35.347615,-117.808739,13.6542
5.757,7629.046484,35.347616,-117.808732,13.6542
5.807,7708.129998,35.347617,-117.808724,13.6542
5.857,7786.924783,35.347618,-117.808716,13.6542
5.907,7865.432474,35.347619,-117.808709,13.6542
5.957,7943.654697,35.34762,-117.808701,13.6542
6.007,8021.593059,35.347621,-117.808694,13.6542
6.057,8099.249142,35.347622,-117.808686,13.6542
6.107,8176.624513,35.347623,-117.808679,13.6542
6.157,8253.720731,35.347624,-117.808671,13.6542
6.207,8330.539348,35.347625,-117.808664,13.6542
6.257,8407.081901,35.347626,-117.808656,13.6542
6.307,8483.349905,35.347627,-117.808649,13.6542
6.357,8559.344857,35.347628,-117.808641,13.6542
6.407,8635.068242,35.347629,-117.808634,13.6542
6.457,8710.521553,35.34763,-117.808626,13.6542
6.507,8785.706297,35.347631,-117.808619,13.6542
6.557,8860.623969,35.347632,-117.808611,13.6542
6.607,8935.276046,35.347633,-117.808604,13.6542
6.657,9009.663991,35.347634,-117.808597,13.6542
6.707,9083.789261,35.347635,-117.808589,13.6542
6.757,9157.653298,35.347636,-117.808582,13.6542
6.807,9231.257531,35.347637,-117.808575,13.6542
6.857,9304.603366,35.347638,-117.808568,13.6542
6.907,9377.692177,35.347639,-117.80856,13.6542
6.957,9450.525326,35.34764,-117.808553,13.6542
7.007,9523.104161,35.347641,-117.808546,13.6542
7.057,9595.430019,35.347642,-117.808539,13.6542
7.107,9667.504225,35.347644,-117.808531,13.6542
